,High,Low,Open,Close,Volume,Adj Close,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,OffsetLoanAndShort,ShortSaleBuy,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance,b_total,s_total,b_s_ratio,buy_volume,sell_volume,bs_ratio,Date
2012-01-02,49.59999847412109,48.93999862670898,49.45000076293945,49.060001373291016,11331613.0,49.060001373291016,1426.0,0.0,878.0,27423.0,26875.0,537.0,511.0,654.0,7524.0,7381.0,497952.0,517851.0,1.0399595945802114,,,,2012-01-02
2012-01-03,49.95000076293945,49.400001525878906,49.5,49.70000076293945,19461977.0,49.70000076293945,312.0,7.0,2458.0,25270.0,27423.0,429.0,203.0,805.0,8121.0,7524.0,501355.0,518504.0,1.0342032408109207,,,,2012-01-03
2012-01-04,50.150001525878906,49.77999877929688,49.900001525878906,50.0,23080541.0,50.0,477.0,1.0,922.0,24824.0,25270.0,256.0,463.0,669.0,8327.0,8121.0,501926.0,518423.0,1.0328653369912355,,,,2012-01-04
2012-01-05,50.150001525878906,49.90999984741211,50.09999847412109,50.150001525878906,21097923.0,50.150001525878906,228.0,4.0,1710.0,23338.0,24824.0,177.0,404.0,403.0,8326.0,8327.0,482912.0,497924.0,1.031084273978957,,,,2012-01-05
2012-01-06,50.25,49.84999847412109,50.09999847412109,50.0,28343880.0,50.0,137.0,0.0,984.0,22491.0,23338.0,132.0,275.0,376.0,8427.0,8326.0,484259.0,498323.0,1.0290401850245736,,,,2012-01-06
2012-01-09,49.95000076293945,49.630001068115234,49.900001525878906,49.810001373291016,14067965.0,49.810001373291016,364.0,27.0,547.0,22281.0,22491.0,118.0,217.0,153.0,8363.0,8427.0,485219.0,499137.0,1.0286818350438975,,,,2012-01-09
2012-01-10,50.70000076293945,50.20000076293945,50.20000076293945,50.70000076293945,29305530.0,50.70000076293945,331.0,5.0,2004.0,20603.0,22281.0,212.0,274.0,722.0,8811.0,8363.0,487522.0,499314.0,1.024185525605971,,,,2012-01-10
2012-01-11,50.79999923706055,50.59999847412109,50.70000076293945,50.650001525878906,13541792.0,50.650001525878906,492.0,10.0,854.0,20231.0,20603.0,89.0,248.0,144.0,8706.0,8811.0,487894.0,499419.0,1.0236198362352555,,,,2012-01-11
2012-01-12,50.84999847412109,50.5,50.70000076293945,50.75,18821732.0,50.75,200.0,0.0,1637.0,18794.0,20231.0,123.0,114.0,351.0,8943.0,8706.0,489456.0,499307.0,1.0201243418727284,,,,2012-01-12
2012-01-13,51.25,50.75,51.150001525878906,50.84999847412109,39263092.0,50.84999847412109,1465.0,10.0,2255.0,17994.0,18794.0,140.0,429.0,767.0,9273.0,8943.0,491006.0,499727.0,1.0177594209451188,,,,2012-01-13
2012-01-16,51.09999847412109,49.75,51.04999923706055,50.04999923706055,28879651.0,50.04999923706055,1746.0,32.0,1460.0,18248.0,17994.0,741.0,760.0,312.0,8825.0,9273.0,490502.0,499925.0,1.019208852952989,,,,2012-01-16
2012-01-17,50.59999847412109,50.09999847412109,50.34999847412109,50.54999923706055,15752.0,50.54999923706055,309.0,5.0,1292.0,17260.0,18248.0,311.0,285.0,284.0,8822.0,8825.0,491615.0,500053.0,1.0171617685347911,,,,2012-01-17
2012-01-18,50.75,50.29999923706055,50.54999923706055,50.400001525878906,12458.0,50.400001525878906,342.0,30.0,1024.0,16548.0,17260.0,219.0,177.0,141.0,8785.0,8822.0,492077.0,499840.0,1.0157739220204929,,,,2012-01-18
2012-01-30,52.29999923706055,51.400001525878906,51.400001525878906,51.79999923706055,34168.0,51.79999923706055,508.0,31.0,2440.0,14531.0,16494.0,593.0,1395.0,306.0,7696.0,8785.0,493594.0,500429.0,1.0138453590494232,,,,2012-01-30
2012-01-31,52.400001525878906,51.75,52.0,51.95000076293945,20563.0,51.95000076293945,243.0,1.0,851.0,13923.0,14532.0,159.0,321.0,131.0,7505.0,7696.0,492202.0,498620.0,1.013037303714118,,,,2012-01-31
2012-02-01,52.5,52.0,52.20000076293945,52.29999923706055,24052.0,52.29999923706055,364.0,0.0,735.0,13552.0,13923.0,143.0,297.0,187.0,7395.0,7505.0,487198.0,493355.0,1.0126354939152171,,,,2012-02-01
2012-02-02,52.95000076293945,52.5,52.70000076293945,52.900001525878906,20343.0,52.900001525878906,229.0,3.0,1142.0,12636.0,13552.0,89.0,226.0,156.0,7325.0,7395.0,483989.0,489300.0,1.0109713010599393,,,,2012-02-02
2012-02-03,53.04999923706055,52.75,52.95000076293945,53.04999923706055,35646.0,53.04999923706055,220.0,0.0,729.0,12127.0,12636.0,36.0,171.0,495.0,7649.0,7325.0,478748.0,483226.0,1.009351455564398,,,,2012-02-03
2012-02-06,53.5,53.150001525878906,53.5,53.20000076293945,18139.0,53.20000076293945,147.0,20.0,266.0,11324.0,11463.0,53.0,121.0,115.0,7248.0,7255.0,472301.0,476377.0,1.0086279541479817,,,,2012-02-06
2012-02-07,53.59999847412109,53.04999923706055,53.29999923706055,53.29999923706055,19800.0,53.29999923706055,247.0,0.0,421.0,11150.0,11324.0,74.0,86.0,73.0,7235.0,7248.0,472475.0,476390.0,1.0082840186591489,,,,2012-02-07
2012-02-08,54.45000076293945,53.5,53.5,54.45000076293945,38882.0,54.45000076293945,441.0,1.0,630.0,10960.0,11150.0,42.0,593.0,91.0,6733.0,7235.0,464540.0,468767.0,1.009097151812219,,,,2012-02-08
