,High,Low,Open,Close,Volume,Adj Close,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,OffsetLoanAndShort,ShortSaleBuy,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance,b_total,s_total,b_s_ratio,buy_volume,sell_volume,bs_ratio
2008-01-16,58.310001373291016,58.310001373291016,58.310001373291016,58.310001373291016,0.0,58.310001373291016,2097.0,0.0,829.0,11096.0,9828.0,249.0,770.0,137.0,1124.0,1757.0,122529.0,132501.0,1.0813759895535786,,,
2008-01-17,57.900001525878906,57.900001525878906,57.900001525878906,57.900001525878906,0.0,57.900001525878906,1221.0,30.0,640.0,11647.0,11096.0,389.0,271.0,79.0,927.0,1124.0,122853.0,133573.0,1.0872499063929542,,,
2008-01-18,58.34000015258789,58.34000015258789,58.34000015258789,58.34000015258789,0.0,58.34000015258789,1470.0,1.0,543.0,12573.0,11647.0,814.0,323.0,212.0,816.0,927.0,123177.0,134934.0,1.095439120622189,,,
2008-01-21,57.66999816894531,57.66999816894531,57.66999816894531,57.66999816894531,0.0,57.66999816894531,1068.0,0.0,350.0,13291.0,12573.0,242.0,46.0,82.0,852.0,816.0,122459.0,134898.0,1.1015678588926996,,,
2008-01-22,53.91999816894531,53.91999816894531,53.91999816894531,53.91999816894531,0.0,53.91999816894531,1958.0,50.0,1206.0,13993.0,13291.0,592.0,139.0,521.0,1234.0,852.0,121882.0,134641.0,1.1046741547221515,,,
2008-01-23,53.45000076293945,53.45000076293945,53.45000076293945,53.45000076293945,0.0,53.45000076293945,1055.0,43.0,1164.0,13841.0,13993.0,750.0,239.0,738.0,1733.0,1234.0,122034.0,134142.0,1.0992092432498872,,,
2008-01-24,54.529998779296875,54.529998779296875,54.529998779296875,54.529998779296875,0.0,54.529998779296875,990.0,40.0,1174.0,13617.0,13841.0,622.0,485.0,278.0,1526.0,1733.0,121758.0,133849.0,1.0992945080035152,,,
2008-01-25,56.15999984741211,56.15999984741211,56.15999984741211,56.15999984741211,0.0,56.15999984741211,772.0,118.0,936.0,13335.0,13617.0,205.0,346.0,336.0,1516.0,1526.0,121790.0,133609.0,1.0970350846942714,,,
2008-01-28,54.279998779296875,54.279998779296875,54.279998779296875,54.279998779296875,0.0,54.279998779296875,672.0,207.0,454.0,13346.0,13335.0,114.0,165.0,151.0,1502.0,1516.0,122154.0,133998.0,1.096950595554828,,,
2008-01-29,55.209999084472656,55.209999084472656,55.209999084472656,55.209999084472656,0.0,55.209999084472656,500.0,8.0,288.0,13550.0,13346.0,213.0,173.0,112.0,1441.0,1502.0,122450.0,134559.0,1.0988803684739201,,,
2008-01-30,54.970001220703125,54.970001220703125,54.970001220703125,54.970001220703125,0.0,54.970001220703125,491.0,0.0,757.0,13284.0,13550.0,170.0,49.0,186.0,1578.0,1441.0,122841.0,134547.0,1.095285000244216,,,
2008-01-31,55.099998474121094,55.099998474121094,55.099998474121094,55.099998474121094,0.0,55.099998474121094,329.0,0.0,717.0,12896.0,13284.0,225.0,119.0,195.0,1654.0,1578.0,123729.0,134971.0,1.0908510466337995,,,
2008-02-01,56.029998779296875,56.029998779296875,56.029998779296875,56.029998779296875,0.0,56.029998779296875,352.0,48.0,1030.0,12170.0,12896.0,282.0,139.0,208.0,1623.0,1654.0,124705.0,135252.0,1.0845669013519799,,,
2008-02-12,54.95000076293945,54.95000076293945,54.95000076293945,54.95000076293945,0.0,54.95000076293945,724.0,0.0,332.0,12497.0,12105.0,171.0,174.0,126.0,1575.0,1623.0,124503.0,135425.0,1.0877160573154276,,,
2008-02-13,55.13999938964844,55.13999938964844,55.13999938964844,55.13999938964844,0.0,55.13999938964844,570.0,3.0,353.0,12711.0,12497.0,130.0,83.0,84.0,1576.0,1575.0,124164.0,135299.0,1.0896710022953329,,,
2008-02-14,57.529998779296875,57.529998779296875,57.529998779296875,57.529998779296875,0.0,57.529998779296875,648.0,38.0,1395.0,11926.0,12711.0,257.0,123.0,294.0,1739.0,1576.0,124449.0,134636.0,1.0818481317798312,,,
2008-02-15,57.459999084472656,57.459999084472656,57.459999084472656,57.459999084472656,0.0,57.459999084472656,433.0,2.0,393.0,11964.0,11926.0,246.0,235.0,96.0,1600.0,1739.0,124411.0,134775.0,1.083295823553998,,,
2008-02-18,57.189998626708984,57.189998626708984,57.189998626708984,57.189998626708984,0.0,57.189998626708984,317.0,0.0,495.0,11786.0,11964.0,289.0,67.0,165.0,1698.0,1600.0,124464.0,134552.0,1.08104286345559,,,
2008-02-19,58.060001373291016,58.060001373291016,58.060001373291016,58.060001373291016,0.0,58.060001373291016,525.0,0.0,453.0,11858.0,11786.0,239.0,41.0,217.0,1874.0,1698.0,124267.0,134251.0,1.0803344384716902,,,
2008-02-20,57.16999816894531,57.16999816894531,57.16999816894531,57.16999816894531,0.0,57.16999816894531,362.0,0.0,636.0,11584.0,11858.0,164.0,124.0,253.0,2003.0,1874.0,124291.0,133872.0,1.077076561645158,,,
