,High,Low,Open,Close,Volume,Adj Close,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,OffsetLoanAndShort,ShortSaleBuy,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance,b_total,s_total,b_s_ratio,buy_volume,sell_volume,bs_ratio,Date
2014-01-02,58.75,58.34999847412109,58.70000076293945,58.54999923706055,10762073.0,58.54999923706055,492.0,0.0,552.0,5683.0,5743.0,7.0,33.0,18.0,2393.0,2408.0,342192.0,345482.0,1.009611535010944,6531000.0,1039000.0,6.285845730658584,2014-01-02
2014-01-03,58.45000076293945,57.70000076293945,58.45000076293945,57.84999847412109,14509506.0,57.84999847412109,699.0,2.0,406.0,5974.0,5683.0,9.0,62.0,54.0,2385.0,2393.0,341276.0,344865.0,1.010513453880572,5260000.0,1312000.0,4.009143285713959,2014-01-03
2014-01-06,57.95000076293945,57.54999923706055,57.75,57.70000076293945,14870810.0,57.70000076293945,224.0,2.0,56.0,6140.0,5974.0,13.0,36.0,23.0,2372.0,2385.0,341110.0,344878.0,1.0110433260727447,7477000.0,2012000.0,3.7162009362818407,2014-01-06
2014-01-07,57.900001525878906,57.70000076293945,57.75,57.70000076293945,13128332.0,57.70000076293945,295.0,5.0,279.0,6151.0,6140.0,10.0,50.0,10.0,2332.0,2372.0,341099.0,344918.0,1.0111931984755205,6194000.0,936000.0,6.61751429752746,2014-01-07
2014-01-08,57.95000076293945,57.70000076293945,57.70000076293945,57.79999923706055,7605215.0,57.79999923706055,437.0,0.0,75.0,6513.0,6151.0,0.0,21.0,5.0,2316.0,2332.0,340862.0,345059.0,1.0123099309693335,2232000.0,1749000.0,1.2761570748101343,2014-01-08
2014-01-09,57.79999923706055,57.400001525878906,57.650001525878906,57.54999923706055,8571228.0,57.54999923706055,238.0,0.0,372.0,6379.0,6513.0,18.0,41.0,23.0,2298.0,2316.0,340996.0,345077.0,1.0119649146473428,582000.0,4662000.0,0.1248390980611115,2014-01-09
2014-01-10,57.650001525878906,57.5,57.5,57.54999923706055,4741624.0,57.54999923706055,36.0,6.0,34.0,6375.0,6379.0,0.0,9.0,19.0,2308.0,2298.0,341000.0,345067.0,1.0119237186987722,2175000.0,995000.0,2.185927451329195,2014-01-10
2014-01-13,58.20000076293945,57.79999923706055,58.0,57.900001525878906,6179869.0,57.900001525878906,333.0,0.0,352.0,6356.0,6375.0,32.0,8.0,42.0,2342.0,2308.0,340894.0,344908.0,1.011771953240734,2338000.0,1990000.0,1.1748737814704615,2014-01-13
2014-01-14,57.84999847412109,57.59999847412109,57.70000076293945,57.79999923706055,4276441.0,57.79999923706055,81.0,5.0,191.0,6241.0,6356.0,0.0,9.0,15.0,2348.0,2342.0,341259.0,345152.0,1.0114047939987107,2443000.0,1038000.0,2.353562279805125,2014-01-14
2014-01-15,58.45000076293945,57.95000076293945,57.95000076293945,58.400001525878906,11675845.0,58.400001525878906,113.0,45.0,631.0,5678.0,6241.0,124.0,7.0,135.0,2476.0,2348.0,336572.0,339774.0,1.0095105668012585,9690000.0,524000.0,18.492331121505494,2014-01-15
2014-01-16,58.75,58.5,58.5,58.54999923706055,12771698.0,58.54999923706055,135.0,0.0,312.0,5501.0,5678.0,75.0,9.0,58.0,2525.0,2476.0,332999.0,335975.0,1.0089339339339338,11757000.0,1969000.0,5.971048262545321,2014-01-16
2014-01-17,58.70000076293945,58.29999923706055,58.59999847412109,58.650001525878906,8169584.0,58.650001525878906,60.0,15.0,168.0,5378.0,5501.0,49.0,47.0,53.0,2531.0,2525.0,332497.0,335344.0,1.008559449981654,7129000.0,962000.0,7.41059520728149,2014-01-17
2014-01-20,58.79999923706055,58.400001525878906,58.400001525878906,58.79999923706055,5627156.0,58.79999923706055,108.0,0.0,125.0,5361.0,5378.0,40.0,3.0,26.0,2554.0,2531.0,332514.0,335321.0,1.0084387170503586,5074000.0,234000.0,21.68366801851274,2014-01-20
2014-01-21,58.84999847412109,58.5,58.75,58.54999923706055,6963662.0,58.54999923706055,92.0,33.0,116.0,5304.0,5361.0,26.0,14.0,7.0,2547.0,2554.0,332571.0,335328.0,1.0082869273420492,5951000.0,463000.0,12.853103988976263,2014-01-21
2014-01-22,58.650001525878906,58.34999847412109,58.45000076293945,58.650001525878906,6838219.0,58.650001525878906,7.0,1.0,126.0,5184.0,5304.0,47.0,21.0,9.0,2535.0,2547.0,332691.0,335340.0,1.0079593137195966,6077000.0,861000.0,7.058063811772576,2014-01-22
2014-01-23,58.75,58.34999847412109,58.59999847412109,58.5,6904868.0,58.5,171.0,0.0,81.0,5274.0,5184.0,6.0,40.0,2.0,2497.0,2535.0,332101.0,334878.0,1.0083588776942023,5306000.0,1205000.0,4.403315847870665,2014-01-23
2014-01-24,58.79999923706055,58.29999923706055,58.29999923706055,58.650001525878906,10706035.0,58.650001525878906,52.0,0.0,475.0,4851.0,5274.0,25.0,3.0,27.0,2521.0,2497.0,332524.0,334854.0,1.0070039846628074,10184000.0,1305000.0,7.803825437681657,2014-01-24
2014-01-27,58.20000076293945,57.45000076293945,58.09999847412109,57.59999847412109,21325343.0,57.59999847412109,708.0,4.0,581.0,4974.0,4851.0,162.0,148.0,17.0,2390.0,2521.0,329276.0,331860.0,1.0078444592243003,3930000.0,15851000.0,0.2479338686559921,2014-01-27
2014-02-05,56.400001525878906,55.59999847412109,56.400001525878906,55.79999923706055,57559609.0,55.79999923706055,1834.0,0.0,424.0,6384.0,4974.0,171.0,791.0,67.0,1666.0,2390.0,331741.0,336459.0,1.014218880937596,3991000.0,52742000.0,0.0756702423937233,2014-02-05
2014-02-06,56.20000076293945,55.79999923706055,55.95000076293945,56.0,12853797.0,56.0,337.0,0.0,213.0,6508.0,6384.0,13.0,106.0,324.0,1884.0,1666.0,331992.0,336616.0,1.013924992394418,1283000.0,9321000.0,0.1376461605357622,2014-02-06
