,High,Low,Open,Close,Volume,Adj Close,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,OffsetLoanAndShort,ShortSaleBuy,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance,b_total,s_total,b_s_ratio,buy_volume,sell_volume,bs_ratio,Date
2019-01-25,75.0999984741211,74.55000305175781,74.5999984741211,75.0,7320778.0,75.0,32.0,0.0,413.0,2442.0,2823.0,1.0,26.0,45.0,180.0,161.0,238683.0,240945.0,1.0094727757201991,5336000.0,182000.0,29.318520227910835,2019-01-25
2019-01-28,75.44999694824219,75.05000305175781,75.1500015258789,75.1500015258789,3825143.0,75.1500015258789,23.0,0.0,37.0,2428.0,2442.0,0.0,1.0,72.0,251.0,180.0,238697.0,240874.0,1.0091161216264903,1917200.0,1219000.0,1.5727632709078991,2019-01-28
2019-01-29,74.55000305175781,74.19999694824219,74.5,74.5,4419790.0,74.5,53.0,2.0,53.0,2426.0,2428.0,3.0,6.0,26.0,271.0,251.0,238699.0,240854.0,1.00902387934646,1213000.0,2664000.0,0.4553301594106008,2019-01-29
2019-01-30,74.6500015258789,74.19999694824219,74.5,74.3499984741211,5255229.0,74.3499984741211,56.0,9.0,94.0,2379.0,2426.0,18.0,43.0,25.0,253.0,271.0,239121.0,241247.0,1.008886677093701,1326000.0,3612000.0,0.3671095329154117,2019-01-30
2019-02-11,75.6500015258789,74.8499984741211,75.3499984741211,75.1500015258789,6614900.0,75.1500015258789,54.0,2.0,143.0,2288.0,2379.0,3.0,3.0,34.0,284.0,253.0,239212.0,241216.0,1.0083732907492486,4508000.0,918000.0,4.910670031949857,2019-02-11
2019-02-12,75.75,75.3499984741211,75.3499984741211,75.6500015258789,6164150.0,75.6500015258789,18.0,0.0,89.0,2206.0,2277.0,5.0,12.0,83.0,355.0,284.0,239294.0,241145.0,1.0077310432729476,4446000.0,423000.0,10.510613450086408,2019-02-12
2019-02-13,75.94999694824219,75.4000015258789,75.94999694824219,75.5,4157700.0,75.5,19.0,0.0,32.0,2193.0,2206.0,7.0,2.0,19.0,372.0,355.0,239307.0,241128.0,1.0076052618383005,2005000.0,1225000.0,1.6367333577686876,2019-02-13
2019-02-14,75.75,75.25,75.5,75.25,3641542.0,75.25,45.0,0.0,42.0,2196.0,2193.0,0.0,2.0,6.0,376.0,372.0,239304.0,241124.0,1.007601178412486,1697000.0,1461000.0,1.1615324014151942,2019-02-14
2019-02-15,75.5999984741211,74.9000015258789,75.30000305175781,75.05000305175781,3516111.0,75.05000305175781,31.0,2.0,37.0,2188.0,2196.0,1.0,3.0,8.0,381.0,376.0,240562.0,242369.0,1.007507388916833,1747000.0,2029000.0,0.8610148541080068,2019-02-15
2019-02-18,75.9000015258789,75.5,75.5,75.6500015258789,6596163.0,75.6500015258789,12.0,1.0,74.0,2125.0,2188.0,5.0,4.0,3.0,380.0,381.0,240625.0,242370.0,1.0072477620872224,5017000.0,91000.0,55.13126229382095,2019-02-18
2019-02-19,75.69999694824219,75.5,75.69999694824219,75.5,2862069.0,75.5,15.0,0.0,11.0,2129.0,2125.0,0.0,0.0,10.0,390.0,380.0,240621.0,242360.0,1.007222947195186,1700000.0,1340000.0,1.2686557696598737,2019-02-19
2019-02-20,76.5,75.9000015258789,75.9000015258789,76.3499984741211,34307853.0,76.3499984741211,11.0,0.0,185.0,1955.0,2129.0,0.0,5.0,64.0,449.0,390.0,240795.0,242301.0,1.0062501038223226,32086999.0,6455000.0,4.9708743654726,2019-02-20
2019-02-21,77.0999984741211,76.4000015258789,76.4000015258789,77.0999984741211,18664815.0,77.0999984741211,55.0,0.0,108.0,1902.0,1955.0,1.0,27.0,37.0,459.0,449.0,240848.0,242291.0,1.0059871537768477,16538994.0,2578000.0,6.415433508365591,2019-02-21
