,High,Low,Open,Close,Volume,Adj Close,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,OffsetLoanAndShort,ShortSaleBuy,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance,b_total,s_total,b_s_ratio,buy_volume,sell_volume,bs_ratio,Date
2013-03-13,55.95000076293945,55.29999923706055,55.59999847412109,55.650001525878906,10205851.0,55.650001525878906,194.0,4.0,205.0,4919.0,4934.0,60.0,18.0,20.0,3372.0,3370.0,374331.0,375878.0,1.0041300236154005,8417000.0,3138000.0,2.6822808533203144,2013-03-13
2013-03-14,55.59999847412109,55.34999847412109,55.5,55.59999847412109,12133109.0,55.59999847412109,48.0,0.0,107.0,4860.0,4919.0,64.0,18.0,48.0,3401.0,3372.0,372390.0,373849.0,1.003915239627166,9927000.0,6379000.0,1.5561997873961768,2013-03-14
2013-03-15,55.70000076293945,55.20000076293945,55.59999847412109,55.20000076293945,9551506.0,55.20000076293945,146.0,3.0,115.0,4888.0,4860.0,176.0,73.0,14.0,3342.0,3401.0,371237.0,372783.0,1.0041617506828504,7066000.0,5217000.0,1.354417988419017,2013-03-15
2013-03-18,55.0,54.29999923706055,55.0,54.5,13219182.0,54.5,609.0,15.0,337.0,5145.0,4888.0,271.0,160.0,77.0,3259.0,3342.0,370355.0,372241.0,1.0050896974802623,866000.0,7963000.0,0.1087529688869811,2013-03-18
2013-03-19,54.75,54.5,54.70000076293945,54.59999847412109,3373726.0,54.59999847412109,74.0,0.0,97.0,5122.0,5145.0,27.0,54.0,109.0,3314.0,3259.0,369628.0,371436.0,1.00488868568213,349000.0,1867000.0,0.1869308050718773,2013-03-19
2013-03-20,54.54999923706055,54.150001525878906,54.34999847412109,54.25,8821393.0,54.25,366.0,1.0,101.0,5386.0,5122.0,103.0,84.0,141.0,3370.0,3314.0,369489.0,371505.0,1.0054534628812688,1116000.0,7161000.0,0.1558441340812548,2013-03-20
2013-03-21,54.45000076293945,54.25,54.400001525878906,54.29999923706055,4929633.0,54.29999923706055,85.0,0.0,41.0,5430.0,5386.0,53.0,49.0,51.0,3372.0,3370.0,369445.0,371503.0,1.00556779610552,222000.0,3812000.0,0.0582371305778776,2013-03-21
2013-03-22,54.34999847412109,54.150001525878906,54.20000076293945,54.150001525878906,8202388.0,54.150001525878906,123.0,0.0,406.0,5147.0,5430.0,28.0,155.0,204.0,3421.0,3372.0,369728.0,371454.0,1.004665579383819,177000.0,6671000.0,0.0265327497327612,2013-03-22
2013-03-25,54.75,54.45000076293945,54.75,54.54999923706055,2648667.0,54.54999923706055,66.0,0.0,260.0,4953.0,5147.0,22.0,53.0,44.0,3412.0,3421.0,371672.0,373213.0,1.0041434271523624,403000.0,676000.0,0.5961529642707629,2013-03-25
2013-03-26,54.59999847412109,54.45000076293945,54.54999923706055,54.54999923706055,1956026.0,54.54999923706055,95.0,0.0,67.0,4981.0,4953.0,74.0,5.0,14.0,3421.0,3412.0,371519.0,373079.0,1.0041962747631352,329000.0,962000.0,0.3419954864911783,2013-03-26
2013-03-27,54.84999847412109,54.45000076293945,54.59999847412109,54.70000076293945,4540031.0,54.70000076293945,338.0,0.0,227.0,5092.0,4981.0,13.0,133.0,86.0,3374.0,3421.0,371158.0,372876.0,1.0046260497522626,1697000.0,2993000.0,0.5669894530606572,2013-03-27
2013-03-28,54.75,54.400001525878906,54.70000076293945,54.54999923706055,3315710.0,54.54999923706055,96.0,0.0,302.0,4886.0,5092.0,171.0,30.0,156.0,3420.0,3374.0,371364.0,372830.0,1.0039449059550576,279000.0,2055000.0,0.1357663572913103,2013-03-28
2013-03-29,55.150001525878906,54.70000076293945,54.84999847412109,55.09999847412109,5875788.0,55.09999847412109,327.0,0.0,255.0,4958.0,4886.0,129.0,126.0,40.0,3334.0,3420.0,371292.0,372916.0,1.0043712108765854,3753000.0,784000.0,4.786983690071824,2013-03-29
2013-04-01,55.20000076293945,54.95000076293945,55.09999847412109,55.0,3729172.0,55.0,123.0,0.0,153.0,4928.0,4958.0,145.0,18.0,74.0,3390.0,3334.0,371572.0,373110.0,1.0041364684732206,1386000.0,1884000.0,0.735668399326752,2013-04-01
2013-04-02,55.09999847412109,54.70000076293945,55.0,54.84999847412109,4937409.0,54.84999847412109,165.0,0.0,307.0,4786.0,4928.0,180.0,62.0,67.0,3395.0,3390.0,371714.0,373105.0,1.0037394240210915,2020000.0,679000.0,2.974958799766127,2013-04-02
2013-04-03,55.150001525878906,54.900001525878906,55.09999847412109,55.0,2925659.0,55.0,187.0,0.0,115.0,4858.0,4786.0,112.0,15.0,50.0,3430.0,3395.0,371642.0,373070.0,1.003839706384891,1660000.0,870000.0,1.90804378385772,2013-04-03
2013-04-08,54.5,53.84999847412109,54.45000076293945,53.84999847412109,18559790.0,53.84999847412109,747.0,0.0,230.0,5375.0,4858.0,250.0,105.0,116.0,3441.0,3430.0,371125.0,373059.0,1.0052084736720144,833000.0,15770000.0,0.0528218102205573,2013-04-08
2013-04-09,54.04999923706055,53.59999847412109,54.0,53.70000076293945,7681461.0,53.70000076293945,362.0,0.0,338.0,5399.0,5375.0,128.0,102.0,103.0,3442.0,3441.0,371101.0,373058.0,1.0052707880852163,407000.0,5172000.0,0.078692946888448,2013-04-09
2013-04-10,53.95000076293945,53.59999847412109,53.75,53.79999923706055,3118305.0,53.79999923706055,130.0,4.0,90.0,5435.0,5399.0,25.0,17.0,90.0,3515.0,3442.0,370940.0,372860.0,1.0051733294513143,428000.0,1396000.0,0.3065900382592849,2013-04-10
2013-04-11,54.400001525878906,53.95000076293945,53.95000076293945,54.34999847412109,9842030.0,54.34999847412109,234.0,0.0,254.0,5415.0,5435.0,176.0,77.0,83.0,3521.0,3515.0,369835.0,371729.0,1.005118484950086,7993000.0,1226000.0,6.519570538686347,2013-04-11
2013-04-12,54.5,54.20000076293945,54.400001525878906,54.34999847412109,2297003.0,54.34999847412109,44.0,0.0,235.0,5224.0,5415.0,81.0,69.0,88.0,3540.0,3521.0,369901.0,371585.0,1.004549853745046,834000.0,766000.0,1.0887714245803857,2013-04-12
2013-04-15,54.34999847412109,53.75,54.25,53.900001525878906,4111521.0,53.900001525878906,174.0,6.0,58.0,5334.0,5224.0,151.0,17.0,6.0,3529.0,3540.0,369791.0,371596.0,1.004878418137764,758000.0,2454000.0,0.3088833297133945,2013-04-15
2013-04-16,54.0,53.45000076293945,53.5,54.0,5150419.0,54.0,180.0,0.0,93.0,5421.0,5334.0,93.0,56.0,51.0,3524.0,3529.0,369704.0,371601.0,1.0051284131943037,1650000.0,3395000.0,0.4860086933700461,2013-04-16
2013-04-17,54.09999847412109,53.84999847412109,54.0,53.900001525878906,4995060.0,53.900001525878906,67.0,2.0,83.0,5403.0,5421.0,187.0,57.0,31.0,3498.0,3524.0,369097.0,371002.0,1.0051585215850534,3055000.0,2873000.0,1.0633480461719296,2013-04-17
2013-04-18,54.09999847412109,53.54999923706055,53.54999923706055,53.84999847412109,5605761.0,53.84999847412109,78.0,6.0,89.0,5386.0,5403.0,199.0,35.0,38.0,3501.0,3498.0,368989.0,370874.0,1.0051058294262718,2703000.0,3383000.0,0.7989947386950226,2013-04-18
2013-04-19,55.5,54.25,54.25,55.45000076293945,22459000.0,55.45000076293945,592.0,0.0,793.0,5185.0,5386.0,249.0,132.0,142.0,3511.0,3501.0,368940.0,370614.0,1.0045346003832591,18675000.0,1253000.0,14.904217953537149,2013-04-19
2013-04-22,55.650001525878906,55.29999923706055,55.54999923706055,55.400001525878906,11412387.0,55.400001525878906,72.0,0.0,191.0,5066.0,5185.0,16.0,23.0,47.0,3535.0,3511.0,368184.0,369715.0,1.0041555196436571,9844000.0,3336000.0,2.950838443993272,2013-04-22
2013-04-23,55.400001525878906,54.95000076293945,55.400001525878906,55.09999847412109,3673886.0,55.09999847412109,144.0,10.0,440.0,4760.0,5066.0,5.0,24.0,4.0,3515.0,3535.0,368490.0,369735.0,1.0033759304840553,2472000.0,972000.0,2.543207260074835,2013-04-23
2013-04-24,55.75,55.25,55.34999847412109,55.54999923706055,12432393.0,55.54999923706055,76.0,0.0,254.0,4582.0,4760.0,13.0,68.0,16.0,3463.0,3515.0,368668.0,369787.0,1.003032530535521,11001000.0,1465000.0,7.509209891324306,2013-04-24
2013-04-25,55.75,55.400001525878906,55.45000076293945,55.650001525878906,11885352.0,55.650001525878906,28.0,0.0,254.0,4356.0,4582.0,16.0,11.0,33.0,3485.0,3463.0,368644.0,369515.0,1.002359994032199,11249000.0,3737000.0,3.010167778922189,2013-04-25
2013-04-26,56.20000076293945,55.79999923706055,55.79999923706055,55.84999847412109,11113050.0,55.84999847412109,340.0,10.0,441.0,4245.0,4356.0,160.0,37.0,3.0,3451.0,3485.0,368755.0,369549.0,1.0021504734838214,8181000.0,1402000.0,5.83523121595491,2013-04-26
2013-04-29,56.0,55.75,55.900001525878906,55.79999923706055,8140413.0,55.79999923706055,91.0,0.0,189.0,4147.0,4245.0,17.0,27.0,9.0,3433.0,3451.0,365853.0,366567.0,1.0019488648477262,7214000.0,349000.0,20.670427878430147,2013-04-29
2013-04-30,56.54999923706055,56.25,56.25,56.400001525878906,17616881.0,56.400001525878906,105.0,0.0,302.0,3950.0,4147.0,187.0,73.0,33.0,3393.0,3433.0,366050.0,366607.0,1.001518914031105,10797000.0,2204000.0,4.898818103984526,2013-04-30
2013-05-02,56.650001525878906,56.34999847412109,56.34999847412109,56.54999923706055,15919943.0,56.54999923706055,105.0,0.0,274.0,3781.0,3950.0,168.0,16.0,31.0,3407.0,3393.0,365719.0,366093.0,1.0010199059389695,11557000.0,2263000.0,5.106935436617129,2013-05-02
2013-05-03,57.0,56.650001525878906,56.84999847412109,56.650001525878906,13217634.0,56.650001525878906,97.0,0.0,604.0,3274.0,3781.0,151.0,13.0,0.0,3394.0,3407.0,365226.0,365106.0,0.999668699192557,8727000.0,1664000.0,5.244588194358056,2013-05-03
2013-05-06,57.150001525878906,56.900001525878906,57.0,56.900001525878906,8575588.0,56.900001525878906,60.0,0.0,195.0,3139.0,3274.0,0.0,18.0,0.0,3376.0,3394.0,365361.0,365124.0,0.9993485912601748,4536000.0,2169000.0,2.0912853428836597,2013-05-06
2013-05-07,57.20000076293945,56.79999923706055,56.900001525878906,57.09999847412109,14262007.0,57.09999847412109,50.0,0.0,180.0,3009.0,3139.0,0.0,0.0,0.0,3376.0,3376.0,365491.0,365124.0,0.9989931380167008,12229000.0,3019700.0,4.049738699295062,2013-05-07
2013-05-08,58.09999847412109,57.20000076293945,57.20000076293945,57.84999847412109,21793386.0,57.84999847412109,355.0,10.0,318.0,3036.0,3009.0,0.0,106.0,0.0,3270.0,3376.0,359714.0,359480.0,0.9993467050303712,18558000.0,4177000.0,4.442900540363768,2013-05-08
2013-05-09,58.45000076293945,58.150001525878906,58.20000076293945,58.20000076293945,17797101.0,58.20000076293945,579.0,0.0,293.0,3322.0,3036.0,0.0,79.0,0.0,3191.0,3270.0,359428.0,359559.0,1.0003616847833647,14339000.0,3989100.0,3.5945442344026888,2013-05-09
2013-05-10,58.150001525878906,57.84999847412109,58.09999847412109,57.900001525878906,9240965.0,57.900001525878906,212.0,0.0,91.0,3443.0,3322.0,5.0,4.0,9.0,3196.0,3191.0,359307.0,359554.0,1.000684649381589,7023000.0,1174000.0,5.982107340624071,2013-05-10
2013-05-13,58.0,57.59999847412109,57.900001525878906,57.75,6700177.0,57.75,139.0,0.0,69.0,3513.0,3443.0,41.0,38.0,10.0,3168.0,3196.0,358862.0,359207.0,1.0009585830804513,5037000.0,2567000.0,1.962211935250512,2013-05-13
2013-05-14,58.25,57.75,58.0,57.900001525878906,10934122.0,57.900001525878906,62.0,1.0,144.0,3430.0,3513.0,2.0,3.0,45.0,3210.0,3168.0,353945.0,354165.0,1.0006187384516283,10404000.0,1929000.0,5.393465322205639,2013-05-14
2013-05-15,58.09999847412109,57.650001525878906,58.09999847412109,57.95000076293945,11719865.0,57.95000076293945,511.0,0.0,222.0,3719.0,3430.0,151.0,11.0,11.0,3210.0,3210.0,353281.0,353790.0,1.001437944758012,6440050.0,801000.0,8.040002446938269,2013-05-15
2013-05-16,58.900001525878906,58.400001525878906,58.5,58.70000076293945,32187846.0,58.70000076293945,877.0,0.0,326.0,4270.0,3719.0,238.0,150.0,23.0,3083.0,3210.0,352730.0,353917.0,1.0033623356041856,25396000.0,8640000.0,2.9393515116491304,2013-05-16
2013-05-17,58.70000076293945,58.400001525878906,58.59999847412109,58.400001525878906,8651843.0,58.400001525878906,383.0,0.0,103.0,4550.0,4270.0,172.0,317.0,26.0,2792.0,3083.0,352450.0,354208.0,1.0049850901260031,6204000.0,675000.0,9.19109749467038,2013-05-17
2013-05-20,58.5,58.09999847412109,58.29999923706055,58.29999923706055,7993319.0,58.29999923706055,246.0,2.0,125.0,4669.0,4550.0,74.0,17.0,47.0,2820.0,2792.0,352206.0,354055.0,1.0052469144565557,6616000.0,2449000.0,2.701509717635885,2013-05-20
2013-05-21,58.70000076293945,58.150001525878906,58.34999847412109,58.29999923706055,6989772.0,58.29999923706055,195.0,1.0,105.0,4758.0,4669.0,96.0,10.0,26.0,2836.0,2820.0,350992.0,352914.0,1.0054730436219526,5750000.0,1258000.0,4.57074358446456,2013-05-21
2013-05-22,58.70000076293945,58.20000076293945,58.650001525878906,58.25,7429351.0,58.25,109.0,0.0,483.0,4384.0,4758.0,165.0,23.0,55.0,2868.0,2836.0,350616.0,352132.0,1.0043209542035896,6410000.0,1619000.0,3.959231649640736,2013-05-22
2013-05-23,58.0,57.0,57.900001525878906,57.0,14865840.0,57.0,637.0,0.0,493.0,4528.0,4384.0,59.0,78.0,50.0,2840.0,2868.0,348597.0,350285.0,1.0048393851944073,6994000.0,9787000.0,0.7146213635821638,2013-05-23
2013-05-24,57.20000076293945,56.59999847412109,57.0,56.84999847412109,6949631.0,56.84999847412109,135.0,0.0,327.0,4336.0,4528.0,117.0,91.0,68.0,2817.0,2840.0,348039.0,349558.0,1.004361567635904,3764000.0,3778000.0,0.996294071917927,2013-05-24
2013-05-27,57.34999847412109,56.79999923706055,56.79999923706055,57.34999847412109,3285598.0,57.34999847412109,105.0,0.0,95.0,4346.0,4336.0,10.0,8.0,19.0,2828.0,2817.0,348029.0,349547.0,1.0043588196419848,2145000.0,1126000.0,1.904971665211665,2013-05-27
2013-05-28,57.45000076293945,57.150001525878906,57.400001525878906,57.150001525878906,2342716.0,57.150001525878906,48.0,0.0,355.0,4039.0,4346.0,63.0,9.0,16.0,2835.0,2828.0,348086.0,349290.0,1.0034560325435882,741000.0,659000.0,1.1244292497279973,2013-05-28
